ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200712;05030730;05;03;07;30;2;367;162;205;0;0;0;0;0;0;3;3;3;13;0;15;7;12;15;28;60;39;37;45;15;24;9;12;3;9;3;9;3;0;0;0;0;0;22;15;19;239;45;24;3
200712;05030731;05;03;07;31;2;1328;633;695;6;9;9;10;3;9;12;21;33;19;10;38;41;76;55;82;161;164;152;102;85;87;42;21;25;22;22;9;0;0;3;0;6;31;104;38;117;801;150;78;3
200712;05030832;05;03;08;32;2;1684;830;854;0;6;0;6;12;16;6;29;30;31;28;47;49;46;61;116;182;193;144;105;133;179;76;25;38;44;45;19;9;6;0;3;0;24;140;47;95;934;280;146;18
200712;05030833;05;03;08;33;2;509;349;160;4;0;0;3;3;0;3;3;0;0;3;12;91;102;35;44;66;42;47;21;12;9;3;0;3;3;0;0;0;0;0;0;4;6;9;12;193;267;12;6;0
200712;05040934;05;04;09;34;2;158;55;103;0;0;0;0;0;0;0;3;3;3;0;9;3;9;0;12;9;19;9;15;21;12;9;0;3;3;6;7;3;0;0;0;0;0;9;9;12;85;21;19;3
200712;05040935;05;04;09;35;2;22;12;10;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;4;3;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;13;6;0;0
200712;05040936;05;04;09;36;2;240;91;149;0;0;0;0;0;0;0;0;3;3;3;6;3;9;6;15;21;28;34;27;24;18;6;9;4;3;3;12;0;3;0;0;0;0;9;6;12;155;33;22;3
200712;05040937;05;04;09;37;2;80;31;49;0;0;0;3;0;0;0;0;3;0;4;0;3;0;0;0;6;3;9;16;3;12;9;0;0;3;6;0;0;0;0;0;0;3;7;0;3;37;21;9;0
200712;05040938;05;04;09;38;2;118;70;48;0;0;0;3;0;0;0;4;6;0;0;0;3;6;3;6;9;12;15;9;15;6;3;9;3;0;6;0;0;0;0;0;0;3;10;0;9;69;18;9;0
200712;06010101;06;01;01;01;2;534;242;292;0;0;3;3;3;0;0;16;3;12;3;6;12;19;12;31;70;70;45;52;27;51;33;10;12;19;6;3;7;3;3;0;0;9;34;6;31;307;94;40;13
200712;06010102;06;01;01;02;2;1292;649;643;3;6;6;6;6;12;6;16;21;15;6;21;39;49;69;62;132;160;150;143;100;116;38;24;13;19;24;12;12;3;0;3;3;24;76;21;88;816;178;68;18
200712;06010103;06;01;01;03;2;895;453;442;0;6;3;15;9;3;10;16;3;4;6;35;18;36;39;56;104;122;100;58;58;71;41;9;13;18;12;6;9;12;0;3;0;33;42;35;54;537;121;49;24
200712;06010204;06;01;02;04;2;722;329;393;7;0;0;3;6;3;3;6;31;6;6;13;29;32;21;21;88;105;74;62;48;36;28;13;22;18;14;0;15;3;3;6;7;9;55;13;61;419;77;54;27
200712;06010205;06;01;02;05;2;898;411;487;3;6;0;7;3;6;0;15;13;24;6;21;28;25;30;63;113;92;113;84;65;57;30;25;16;16;12;9;6;7;3;0;3;16;64;21;53;560;112;53;16
200712;06010206;06;01;02;06;2;843;425;418;6;0;3;6;0;4;3;9;3;12;3;12;30;46;27;70;101;93;57;53;56;99;34;12;28;18;15;21;9;6;3;4;6;9;34;12;76;457;145;82;22
200712;06010207;06;01;02;07;2;1051;524;527;3;3;0;7;3;6;0;16;16;22;12;21;24;59;33;74;160;108;127;93;79;54;28;20;18;21;23;12;3;3;0;3;3;13;72;21;83;674;102;74;9
